text,annotations
" The company was founded in December 2002 by Reid Hoffman and the founding team members from PayPal and Socialnet.com (Allen Blue, Eric Ly, Jean-Luc Vaillant, Lee Hower, Konstantin Guericke, Stephen Beitzel, David Eves, Ian McNish, Yan Pujante, Chris Saccheri).In late 2003, Sequoia Capital led the Series A investment in the company.In August 2004, LinkedIn reached 1 million users.In March 2006, LinkedIn achieved its first month of profitability.In April 2007, LinkedIn reached 10 million users.In February 2008, LinkedIn launched a mobile version of the site.","(' The company was founded in December 2002 by Reid Hoffman and the founding team members from PayPal and Socialnet.com (Allen Blue, Eric Ly, Jean-Luc Vaillant, Lee Hower, Konstantin Guericke, Stephen Beitzel, David Eves, Ian McNish, Yan Pujante, Chris Saccheri).In late 2003, Sequoia Capital led the Series A investment in the company.In August 2004, LinkedIn reached 1 million users.In March 2006, LinkedIn achieved its first month of profitability.In April 2007, LinkedIn reached 10 million users.In February 2008, LinkedIn launched a mobile version of the site.', {'entities': [(93, 99, 'company'), (104, 117, 'company'), (275, 290, 'company'), (350, 358, 'company'), (398, 406, 'company'), (464, 472, 'company'), (516, 524, 'company'), (45, 57, 'person'), (119, 129, 'person'), (131, 138, 'person'), (140, 157, 'person'), (159, 168, 'person'), (170, 189, 'person'), (191, 206, 'person'), (208, 218, 'person'), (220, 230, 'person'), (232, 243, 'person'), (28, 41, 'date'), (269, 273, 'date'), (337, 348, 'date'), (452, 462, 'date')]})"
"In June 2008, Sequoia Capital, Greylock Partners, and other venture capital firms purchased a 5% stake in the company for $53 million, giving the company a post-money valuation of approximately $1 billion. In November 2009, LinkedIn opened its office in Mumbai and soon thereafter in Sydney, as it started its Asia-Pacific team expansion. In 2010 LinkedIn opened an International Headquarters in Dublin, Ireland,received a $20 million investment from Tiger Global Management LLC at a valuation of approximately $2 billion,announced its first acquisition, Mspoke,and improved its 1% premium subscription ratio. In October of that year, Silicon Valley Insider ranked the company No. 10 on its Top 100 List of most valuable startups. By December, the company was valued at $1.575 billion in private markets. LinkedIn started its India operations in 2009 and a major part of the first year was dedicated to understanding professionals in India and educating members to leverage LinkedIn for career development.","('In June 2008, Sequoia Capital, Greylock Partners, and other venture capital firms purchased a 5% stake in the company for $53 million, giving the company a post-money valuation of approximately $1 billion. In November 2009, LinkedIn opened its office in Mumbai and soon thereafter in Sydney, as it started its Asia-Pacific team expansion. In 2010 LinkedIn opened an International Headquarters in Dublin, Ireland,received a $20 million investment from Tiger Global Management LLC at a valuation of approximately $2 billion,announced its first acquisition, Mspoke,and improved its 1% premium subscription ratio. In October of that year, Silicon Valley Insider ranked the company No. 10 on its Top 100 List of most valuable startups. By December, the company was valued at $1.575 billion in private markets. LinkedIn started its India operations in 2009 and a major part of the first year was dedicated to understanding professionals in India and educating members to leverage LinkedIn for career development.', {'entities': [(14, 29, 'company'), (31, 48, 'company'), (224, 232, 'company'), (347, 355, 'company'), (451, 478, 'company'), (805, 813, 'company'), (974, 982, 'company'), (122, 133, 'money'), (423, 434, 'money'), (511, 521, 'money'), (770, 784, 'money'), (254, 260, 'place'), (284, 290, 'place'), (310, 322, 'place'), (396, 402, 'place'), (404, 411, 'place'), (635, 649, 'place'), (826, 831, 'place'), (934, 939, 'place'), (3, 12, 'date'), (218, 222, 'date'), (613, 620, 'date'), (629, 633, 'date'), (734, 742, 'date'), (846, 850, 'date'), (881, 885, 'date')]})"
LinkedIn office building at 222 Second Street in San Francisco (opened in March 2016),"('LinkedIn office building at 222 Second Street in San Francisco (opened in March 2016)', {'entities': [(0, 24, 'place'), (28, 45, 'place'), (49, 62, 'place'), (74, 84, 'date')]})"
LinkedIn office in Toronto inside the Toronto Eaton Centre,"('LinkedIn office in Toronto inside the Toronto Eaton Centre', {'entities': [(0, 15, 'place'), (19, 26, 'place'), (38, 58, 'place')]})"
"LinkedIn filed for an initial public offering in January 2011. The company traded its first shares on May 19, 2011, under the NYSE symbol ""LNKD"", at $45 per share. Shares of LinkedIn rose as much as 171% on their first day of trade on the New York Stock Exchange and closed at $94.25, more than 109% above IPO price. Shortly after the IPO, the site's underlying infrastructure was revised to allow accelerated revision-release cycles.In 2011 LinkedIn earned $154.6 million in advertising revenue alone, surpassing Twitter, which earned $139.5 million.LinkedIn's fourth-quarter 2011, earnings soared because of the company's increase in success in the social media world.[33] By this point LinkedIn had about 2,100 full-time employees compared to the 500 that it had in 2010.","('LinkedIn filed for an initial public offering in January 2011. The company traded its first shares on May 19, 2011, under the NYSE symbol ""LNKD"", at $45 per share. Shares of LinkedIn rose as much as 171% on their first day of trade on the New York Stock Exchange and closed at $94.25, more than 109% above IPO price. Shortly after the IPO, the site\'s underlying infrastructure was revised to allow accelerated revision-release cycles.In 2011 LinkedIn earned $154.6 million in advertising revenue alone, surpassing Twitter, which earned $139.5 million.LinkedIn\'s fourth-quarter 2011, earnings soared because of the company\'s increase in success in the social media world.[33] By this point LinkedIn had about 2,100 full-time employees compared to the 500 that it had in 2010.', {'entities': [(0, 8, 'company'), (174, 182, 'company'), (442, 450, 'company'), (514, 521, 'company'), (551, 559, 'company'), (689, 697, 'company'), (149, 152, 'money'), (277, 283, 'money'), (458, 472, 'money'), (536, 550, 'money'), (49, 61, 'date'), (102, 108, 'date'), (110, 114, 'date'), (437, 441, 'date'), (562, 581, 'date'), (769, 773, 'date')]})"
"In April 2014 LinkedIn announced that it had leased 222 Second Street, a 26-story building under construction in San Francisco's SoMa district, to accommodate up to 2,500 of its employees, with the lease covering 10 years.The goal was to join all San Francisco-based staff (1,250 as of January 2016) in one building, bringing sales and marketing employees together with the research and development team.They started to move in in March 2016. In February 2016 following an earnings report, LinkedIn's shares dropped 43.6% within a single day, down to $108.38 per share. LinkedIn lost $10 billion of its market capitalization that day.","(""In April 2014 LinkedIn announced that it had leased 222 Second Street, a 26-story building under construction in San Francisco's SoMa district, to accommodate up to 2,500 of its employees, with the lease covering 10 years.The goal was to join all San Francisco-based staff (1,250 as of January 2016) in one building, bringing sales and marketing employees together with the research and development team.They started to move in in March 2016. In February 2016 following an earnings report, LinkedIn's shares dropped 43.6% within a single day, down to $108.38 per share. LinkedIn lost $10 billion of its market capitalization that day."", {'entities': [(14, 22, 'company'), (490, 498, 'company'), (570, 578, 'company'), (551, 558, 'money'), (584, 595, 'money'), (52, 69, 'place'), (113, 126, 'place'), (129, 142, 'place'), (247, 260, 'place'), (3, 13, 'date'), (431, 441, 'date'), (446, 459, 'date')]})"
In 2016 access to LinkedIn was blocked by Russian authorities for non-compliance with the 2015 national legislation that requires social media networks to store citizens' personal data on servers located in Russia.,"(""In 2016 access to LinkedIn was blocked by Russian authorities for non-compliance with the 2015 national legislation that requires social media networks to store citizens' personal data on servers located in Russia."", {'entities': [(18, 26, 'company'), (207, 213, 'place'), (3, 7, 'date'), (90, 94, 'date')]})"
"In June 2016 Microsoft announced that it would acquire LinkedIn for $196 a share, a total value of $26.2 billion and the second largest acquisition made by Microsoft to date. The acquisition would be an all-cash, debt-financed transaction. Microsoft would allow LinkedIn to ""retain its distinct brand, culture and independence"", with Weiner to remain as CEO, who would then report to Microsoft CEO Satya Nadella. Analysts believed Microsoft saw the opportunity to integrate LinkedIn with its Office product suite to help better integrate the professional network system with its products. The deal was completed on December 8, 2016.","('In June 2016 Microsoft announced that it would acquire LinkedIn for $196 a share, a total value of $26.2 billion and the second largest acquisition made by Microsoft to date. The acquisition would be an all-cash, debt-financed transaction. Microsoft would allow LinkedIn to ""retain its distinct brand, culture and independence"", with Weiner to remain as CEO, who would then report to Microsoft CEO Satya Nadella. Analysts believed Microsoft saw the opportunity to integrate LinkedIn with its Office product suite to help better integrate the professional network system with its products. The deal was completed on December 8, 2016.', {'entities': [(13, 22, 'company'), (55, 63, 'company'), (156, 165, 'company'), (240, 249, 'company'), (262, 270, 'company'), (384, 393, 'company'), (431, 440, 'company'), (474, 482, 'company'), (334, 340, 'person'), (354, 357, 'person'), (394, 397, 'person'), (398, 411, 'person'), (68, 72, 'money'), (99, 112, 'money'), (3, 12, 'date'), (615, 625, 'date'), (627, 632, 'date')]})"
"In late 2016 LinkedIn announced a planned increase of 200 new positions in its Dublin office, which would bring the total employee count to 1,200.Since 2017 94% of B2B marketers use LinkedIn to distribute content.","('In late 2016 LinkedIn announced a planned increase of 200 new positions in its Dublin office, which would bring the total employee count to 1,200.Since 2017 94% of B2B marketers use LinkedIn to distribute content.', {'entities': [(13, 21, 'company'), (182, 190, 'company'), (79, 92, 'place'), (3, 12, 'date'), (152, 156, 'date')]})"
"Soon after LinkedIn's acquisition by Microsoft, LinkedIn's new desktop version was introduced.The new version was meant to make the user experience seamless across mobile and desktop. Some of the changes were made according to the feedback received from the previously launched mobile app. Features that were not heavily used were removed. For example, the contact tagging and filtering features are not supported anymore.","(""Soon after LinkedIn's acquisition by Microsoft, LinkedIn's new desktop version was introduced.The new version was meant to make the user experience seamless across mobile and desktop. Some of the changes were made according to the feedback received from the previously launched mobile app. Features that were not heavily used were removed. For example, the contact tagging and filtering features are not supported anymore."", {'entities': [(11, 19, 'company'), (37, 46, 'company'), (48, 56, 'company')]})"
